Category,Organisms,Year,Source
xom,Xanthomonas oryzae pv. oryzae MAFF311018,2006,RefSeq
xop,Xanthomonas oryzae pv. oryzae PXO99A,2008,RefSeq
xoy,Xanthomonas oryzae pv. oryzae PXO86,2015,GenBank
xor,Xanthomonas oryzae pv. oryzicola BLS256,2012,RefSeq
xoz,Xanthomonas oryzae pv. oryzicola CFBP7342,2015,GenBank
xal,Xanthomonas albilineans,2010,RefSeq
xsa,Xanthomonas sacchari,2015,GenBank
xtn,Xanthomonas translucens,2015,GenBank
sml,Stenotrophomonas maltophilia K279a,2008,RefSeq
smt,Stenotrophomonas maltophilia R551-3,2008,RefSeq
buj,Stenotrophomonas maltophilia JV3,2011,RefSeq
smz,Stenotrophomonas maltophilia D457,2012,RefSeq
psu,Pseudoxanthomonas suwonensis,2011,RefSeq
psd,Pseudoxanthomonas spadix,2011,RefSeq
fau,Frateuria aurantia,2012,RefSeq
rhd,Rhodanobacter denitrificans,2013,RefSeq
dji,Dyella jiangningensis,2014,GenBank
dja,Dyella japonica,2014,GenBank
vch,Vibrio cholerae O1 biovar El Tor N16961,2000,RefSeq
vcf,Vibrio cholerae O1 biovar El Tor FJ147,2015,GenBank
vce,Vibrio cholerae O1 2010EL-1786,2011,RefSeq
vcj,Vibrio cholerae MJ-1236,2009,RefSeq
vco,Vibrio cholerae O395,2007,RefSeq
vcr,Vibrio cholerae O395,2012,RefSeq
vcm,Vibrio cholerae M66-2,2009,RefSeq
vci,Vibrio cholerae IEC224,2012,RefSeq
vcl,Vibrio cholerae LMA3984-4,2012,RefSeq
vcq,Vibrio cholerae 2012EL-2176,2014,GenBank
vcs,Vibrio cholerae MS6,2015,GenBank
vcx,Vibrio cholerae 1154-74,2015,GenBank
vcz,Vibrio cholerae 10432-62,2015,GenBank
vvu,Vibrio vulnificus CMCP6,2002,RefSeq
vvy,Vibrio vulnificus YJ016,2003,RefSeq
vvm,Vibrio vulnificus MO6-24/O,2011,RefSeq
vvl,Vibrio vulnificus 93U204,2014,GenBank
vpa,Vibrio parahaemolyticus RIMD 2210633,2003,RefSeq
vpb,Vibrio parahaemolyticus BB22OP,2013,RefSeq
vpk,Vibrio parahaemolyticus O1:K33 CDC_K4557,2013,RefSeq
vpf,Vibrio parahaemolyticus O1:Kuk FDA_R31,2013,RefSeq
vph,Vibrio parahaemolyticus UCM-V493,2014,GenBank
vha,Vibrio campbellii,2007,GenBank
vca,Vibrio campbellii,2013,RefSeq
vag,Vibrio alginolyticus,2013,RefSeq
vsp,Vibrio splendidus,2008,RefSeq
vex,Vibrio sp. Ex25,2009,RefSeq
vej,Vibrio sp. EJY3,2012,RefSeq
vfu,Vibrio furnissii,2012,RefSeq
vni,Vibrio nigripulchritudo,2013,RefSeq
van,Vibrio anguillarum 775,2011,RefSeq
lag,Vibrio anguillarum M3,2013,RefSeq
vau,Vibrio anguillarum NB10,2015,GenBank
vcy,Vibrio coralliilyticus RE98,2014,GenBank
vct,Vibrio coralliilyticus OCN014,2014,GenBank
vtu,Vibrio tubiashii,2014,GenBank
vfi,Aliivibrio fischeri ES114,2005,RefSeq
vfm,Aiivibrio fischeri MJ11,2008,RefSeq
vsa,Aliivibrio salmonicida,2008,RefSeq
awd,Aliivibrio wodanis,2015,GenBank
ppr,Photobacterium profundum,2004,RefSeq
pgb,Photobacterium gaetbulicola,2015,GenBank
pae,Pseudomonas aeruginosa PAO1,2000,RefSeq
paev,Pseudomonas aeruginosa PAO1-VE13,2014,RefSeq
paei,Pseudomonas aeruginosa PAO1-VE2,2014,RefSeq
pau,Pseudomonas aeruginosa UCBPP-PA14,2006,RefSeq
pap,Pseudomonas aeruginosa PA7,2007,RefSeq
pag,Pseudomonas aeruginosa LESB58,2009,RefSeq
paf,Pseudomonas aeruginosa M18,2012,RefSeq
pnc,Pseudomonas aeruginosa NCGM2.S1,2012,RefSeq
paeb,Pseudomonas aeruginosa NCGM 1900,2015,GenBank
pdk,Pseudomonas aeruginosa DK2,2012,RefSeq
psg,Pseudomonas aeruginosa B136-33,2013,RefSeq
prp,Pseudomonas aeruginosa RP73,2013,RefSeq
paep,Pseudomonas aeruginosa PA1,2013,RefSeq
paer,Pseudomonas aeruginosa PA1R,2013,RefSeq
paem,Pseudomonas aeruginosa MTB-1,2013,RefSeq
pael,Pseudomonas aeruginosa LES431,2013,RefSeq
paes,Pseudomonas aeruginosa SCV20265,2013,RefSeq
paeu,Pseudomonas aeruginosa PA38182,2014,GenBank
paeg,Pseudomonas aeruginosa YL84,2014,GenBank
paec,Pseudomonas aeruginosa c7447m,2014,RefSeq
paeo,Pseudomonas aeruginosa PAO581,2014,RefSeq
ppu,Pseudomonas putida KT2440,2003,RefSeq
ppf,Pseudomonas putida F1,2007,RefSeq
ppg,Pseudomonas putida GB-1,2008,RefSeq
ppw,Pseudomonas putida W619,2008,RefSeq
ppt,Pseudomonas putida S16,2011,RefSeq
ppb,Pseudomonas putida BIRD-1,2012,RefSeq
ppi,Pseudomonas putida ND6,2012,GenBank
ppx,Pseudomonas putida DOT-T1E,2012,RefSeq
ppuh,Pseudomonas putida HB3267,2012,RefSeq
pput,Pseudomonas putida H8234,2013,RefSeq
ppun,Pseudomonas putida NBRC 14164,2013,RefSeq
ppud,Pseudomonas putida DLL-E4,2014,GenBank
pfv,Pseudomonas fulva,2011,RefSeq
pmon,Pseudomonas monteilii SB3078,2013,RefSeq
pmot,Pseudomonas monteilii SB3101,2013,RefSeq
pmos,Pseudomonas mosselii,2014,GenBank
ppj,Pseudomonas plecoglossicida,2015,GenBank
pst,Pseudomonas syringae pv. tomato DC3000,2003,RefSeq
psb,Pseudomonas syringae pv. syringae B728a,2005,RefSeq
psyr,Pseudomonas syringae CC1557,2014,GenBank
psp,Pseudomonas syringae pv. phaseolicola 1448A,2005,RefSeq
pci,Pseudomonas cichorii,2014,GenBank
pfl,Pseudomonas protegens Pf-5,2005,RefSeq
pprc,Pseudomonas protegens CHA0,2013,RefSeq
ppro,Pseudomonas protegens Cab57,2015,GenBank
pfo,Pseudomonas fluorescens Pf0-1,2005,RefSeq
pfs,Pseudomonas fluorescens SBW25,2009,RefSeq
pfe,Pseudomonas fluorescens F113,2012,RefSeq
pfc,Pseudomonas fluorescens A506,2012,RefSeq
pfn,Pseudomonas fluorescens UK4,2014,GenBank
pfw,Pseudomonas fluorescens PCL1751,2015,GenBank
pfb,Pseudomonas fluorescens LBUM223,2015,GenBank
pff,Pseudomonas fluorescens PICF7,2015,GenBank
ppz,Pseudomonas poae,2013,RefSeq
pman,Pseudomonas mandelii,2015,GenBank
ptv,Pseudomonas trivialis,2015,GenBank
pen,Pseudomonas entomophila,2006,RefSeq
pmy,Pseudomonas mendocina ymp,2007,RefSeq
pmk,Pseudomonas mendocina NK-01,2011,RefSeq
psa,Pseudomonas stutzeri A1501,2007,RefSeq
psz,Pseudomonas stutzeri ATCC 17588,2011,RefSeq
psr,Pseudomonas stutzeri DSM 4166,2012,RefSeq
psc,Pseudomonas stutzeri CCUG 29243,2012,RefSeq
psj,Pseudomonas stutzeri DSM 10701,2012,RefSeq
psh,Pseudomonas stutzeri RCH2,2012,RefSeq
pstu,Pseudomonas stutzeri 19SMN4,2014,GenBank
pstt,Pseudomonas stutzeri 28a24,2014,GenBank
pbm,Pseudomonas balearica,2015,GenBank
pba,Pseudomonas brassicacearum subsp. brassicacearum NFM421,2011,RefSeq
pbc,Pseudomonas brassicacearum DF41,2014,GenBank
ppuu,Pseudomonas sp. UW4,2012,RefSeq
pdr,Pseudomonas denitrificans,2013,RefSeq
pre,Pseudomonas resinovorans,2013,RefSeq
ppse,Pseudomonas pseudoalcaligenes,2015,GenBank
psv,Pseudomonas sp. VLB120,2013,RefSeq
psk,Pseudomonas sp. TKP,2013,RefSeq
pkc,Pseudomonas knackmussii,2014,GenBank
pch,Pseudomonas chlororaphis PA23,2014,GenBank
pcz,Pseudomonas chlororaphis PCL1606,2015,GenBank
pcp,Pseudomonas chlororaphis subsp. aurantiaca,2014,GenBank
palk,Pseudomonas alkylphenolia,2014,GenBank
prh,Pseudomonas rhizosphaerae,2014,GenBank
psw,Pseudomonas cremoricolorata,2014,GenBank
ppv,Pseudomonas parafulva,2015,GenBank
pses,Pseudomonas sp. StFLB209,2015,GenBank
psem,Pseudomonas sp. MRSN12121,2015,GenBank
psec,Pseudomonas sp. CCOS 191,2015,GenBank
cja,Cellvibrio japonicus,2008,RefSeq
avn,Azotobacter vinelandii DJ,2009,RefSeq
avl,Azotobacter vinelandii CA,2013,RefSeq
avd,Azotobacter vinelandii CA6,2013,RefSeq
acx,Azotobacter chroococcum,2015,GenBank
par,Psychrobacter arcticus,2005,RefSeq
pcr,Psychrobacter cryohalolentis,2006,RefSeq
prw,Psychrobacter sp. PRwf-1,2007,RefSeq
pso,Psychrobacter sp. G,2013,RefSeq
aci,Acinetobacter sp. ADP1,2004,GenBank
acd,Acinetobacter oleivorans,2010,RefSeq
acb,Acinetobacter baumannii ATCC 17978,2007,RefSeq
abm,Acinetobacter baumannii SDF,2008,RefSeq
aby,Acinetobacter baumannii AYE,2008,RefSeq
abc,Acinetobacter baumannii ACICU,2008,RefSeq
abn,Acinetobacter baumannii AB0057,2008,RefSeq
abb,Acinetobacter baumannii AB307-0294,2008,RefSeq
abx,Acinetobacter baumannii 1656-2,2012,RefSeq
abz,Acinetobacter baumannii MDR-ZJ06,2012,RefSeq
abr,Acinetobacter baumannii MDR-TJ,2012,RefSeq
abd,Acinetobacter baumannii TCDC-AB0715,2012,RefSeq
abh,Acinetobacter baumannii TYTH-1,2012,RefSeq
abad,Acinetobacter baumannii D1279779,2013,RefSeq
abj,Acinetobacter baumannii BJAB07104,2013,RefSeq
abab,Acinetobacter baumannii BJAB0715,2013,RefSeq
abaj,Acinetobacter baumannii BJAB0868,2013,RefSeq
abaz,Acinetobacter baumannii ZW85-1,2013,RefSeq
abk,Acinetobacter baumannii AbH12O-A2,2014,GenBank
abau,Acinetobacter baumannii AB030,2014,GenBank
abaa,Acinetobacter baumannii AB031,2014,GenBank
abw,Acinetobacter baumannii AC29,2014,GenBank
abal,Acinetobacter baumannii LAC-4,2015,GenBank
acc,Acinetobacter calcoaceticus,2012,RefSeq
mct,Moraxella catarrhalis RH4,2010,RefSeq
mcs,Moraxella catarrhalis 25240,2014,GenBank
mcat,Moraxella catarrhalis 25239,2014,GenBank
son,Shewanella oneidensis,2002,RefSeq
sdn,Shewanella denitrificans,2006,RefSeq
sfr,Shewanella frigidimarina,2006,RefSeq
saz,Shewanella amazonensis,2006,RefSeq
sbl,Shewanella baltica OS155,2007,RefSeq
sbm,Shewanella baltica OS185,2007,RefSeq
sbn,Shewanella baltica OS195,2007,RefSeq
sbp,Shewanella baltica OS223,2008,RefSeq
sbt,Shewanella baltica OS678,2012,RefSeq
sbs,Shewanella baltica OS117,2012,RefSeq
sbb,Shewanella baltica BA175,2012,RefSeq
slo,Shewanella loihica,2007,RefSeq
spc,Shewanella putrefaciens CN-32,2007,RefSeq
shp,Shewanella putrefaciens 200,2012,RefSeq
sse,Shewanella sediminis,2007,RefSeq
spl,Shewanella pealeana,2007,RefSeq
she,Shewanella sp. MR-4,2006,RefSeq
shm,Shewanella sp. MR-7,2006,RefSeq
shn,Shewanella sp. ANA-3,2006,RefSeq
shw,Shewanella sp. W3-18-1,2007,RefSeq
shl,Shewanella halifaxensis,2008,RefSeq
swd,Shewanella woodyi,2008,RefSeq
swp,Shewanella piezotolerans,2008,RefSeq
svo,Shewanella violacea,2010,RefSeq
ilo,Idiomarina loihiensis L2TR,2004,RefSeq
ili,Idiomarina loihiensis GSL 199,2013,RefSeq
cps,Colwellia psychrerythraea,2005,RefSeq
pha,Pseudoalteromonas haloplanktis,2005,RefSeq
pat,Pseudoalteromonas atlantica,2006,RefSeq
psm,Pseudoalteromonas sp. SM9913,2010,RefSeq
pseo,Pseudoalteromonas sp. OCN003,2015,GenBank
sde,Saccharophagus degradans,2006,RefSeq
maq,Marinobacter hydrocarbonoclasticus VT8,2007,RefSeq
mhc,Marinobacter hydrocarbonoclasticus ATCC 49840,2012,RefSeq
mad,Marinobacter adhaerens,2012,RefSeq
mbs,Marinobacter sp. BSs20148,2012,RefSeq
msr,Marinobacter salarius,2015,GenBank
msx,Marinobacter similis,2015,GenBank
mpq,Marinobacter psychrophilus,2015,GenBank
amc,Alteromonas macleodii Deep ecotype,2008,RefSeq
amac,Alteromonas macleodii ATCC 27126,2012,RefSeq
amb,Alteromonas macleodii Balearic Sea AD45,2012,RefSeq
amg,Alteromonas macleodii English Channel 673,2012,RefSeq
amh,Alteromonas macleodii English Channel 615,2013,RefSeq
amk,Alteromonas macleodii Black Sea 11,2012,RefSeq
amaa,Alteromonas macleodii AltDE1,2012,RefSeq
amal,Alteromonas macleodii Ionian Sea U4,2013,RefSeq
amae,Alteromonas macleodii Ionian Sea U7,2013,RefSeq
amao,Alteromonas macleodii Ionian Sea U8,2013,RefSeq
amad,Alteromonas macleodii Ionian Sea UM4b,2013,RefSeq
amai,Alteromonas macleodii Ionian Sea UM7,2013,RefSeq
amag,Alteromonas macleodii Aegean Sea MED64,2013,RefSeq
alt,Alteromonas sp. SN2,2011,RefSeq
aal,Alteromonas australica H 17,2014,GenBank
aaus,Alteromonas australica DE170,2015,GenBank
gag,Glaciecola sp. 4H-3-7+YE-5,2011,RefSeq
gni,Glaciecola nitratireducens,2011,RefSeq
gps,Paraglaciecola psychrophila,2013,RefSeq
spoi,Spongiibacter sp. IMCC21906,2015,GenBank
pin,Psychromonas ingrahamii,2006,RefSeq
psy,Psychromonas sp. CNPT3,2013,RefSeq
ttu,Teredinibacter turnerae,2009,RefSeq
fbl,Ferrimonas balearica,2010,RefSeq
mvs,Moritella viscosa,2015,GenBank
cbu,Coxiella burnetii RSA 493,2003,RefSeq
cbs,Coxiella burnetii RSA 331,2007,RefSeq
cbd,Coxiella burnetii Dugway 5J108-111,2007,RefSeq
cbg,Coxiella burnetii CbuG_Q212,2008,RefSeq
cbc,Coxiella burnetii CbuK_Q154,2008,RefSeq
cea,Coxiella endosymbiont of Amblyomma americanum,2015,GenBank
cey,Coxiella-like endosymbiont,2015,GenBank
lpn,Legionella pneumophila subsp. pneumophila Philadelphia 1,2004,RefSeq
lph,Legionella pneumophila subsp. pneumophila HL06041035,2012,RefSeq
lpo,Legionella pneumophila subsp. pneumophila Lorraine,2012,RefSeq
lpu,Legionella pneumophila subsp. pneumophila LPE509,2013,RefSeq
lpm,Legionella pneumophila subsp. pneumophila Thunder Bay,2013,RefSeq
lpf,Legionella pneumophila Lens,2004,RefSeq
lpp,Legionella pneumophila Paris,2004,RefSeq
lpc,Legionella pneumophila Corby,2007,RefSeq
lpa,Legionella pneumophila 2300/99 Alcoy,2010,RefSeq
lpe,Legionella pneumophila subsp. pneumophila ATCC 43290,2012,RefSeq
llo,Legionella longbeachae,2010,RefSeq
lfa,Legionella fallonii,2015,GenBank
lha,Legionella hackeliae,2015,GenBank
lok,Legionella oakridgensis,2015,GenBank
tmc,Tatlockia micdadei,2015,GenBank
mca,Methylococcus capsulatus,2004,RefSeq
mmt,Methylomonas methanica,2011,RefSeq
mah,Methylomicrobium alcaliphilum,2011,RefSeq
ftu,Francisella tularensis subsp. tularensis SCHU S4,2004,RefSeq
ftq,Francisella tularensis subsp. tularensis SCHU S4 NR-28534,2015,GenBank
ftf,Francisella tularensis subsp. tularensis FSC198,2006,RefSeq
ftw,Francisella tularensis subsp. tularensis WY96-3418,2007,RefSeq
ftr,Francisella tularensis subsp. tularensis NE061598,2012,RefSeq
ftt,Francisella tularensis subsp. tularensis TI0902,2012,RefSeq
fty,Francisella tularensis subsp. tularensis WY96,2015,GenBank
ftg,Francisella tularensis TIGB03,2012,RefSeq
ftl,Francisella tularensis subsp. holarctica LVS,2006,RefSeq
fth,Francisella tularensis subsp. holarctica OSU18,2006,RefSeq
fta,Francisella tularensis subsp. holarctica FTNF002-00,2007,RefSeq
fts,Francisella tularensis subsp. holarctica F92,2012,RefSeq
fti,Francisella tularensis subsp. holarctica FSC200,2012,RefSeq
fto,Francisella tularensis subsp. holarctica PHIT-FT049,2014,GenBank
ftc,Francisella tularensis subsp. holarctica FTT_1,2015,GenBank
ftv,Francisella tularensis subsp. holarctica VT68,2015,GenBank
ftz,Francisella tularensis subsp. holarctica 425,2015,GenBank
ftm,Francisella tularensis subsp. mediasiatica FSC147,2008,RefSeq
ftn,Francisella tularensis subsp. novicida U112,2006,RefSeq
ftx,Francisella tularensis subsp. novicida U112,2015,GenBank
ftd,Francisella tularensis subsp. novicida F6168,2015,GenBank
fcf,Francisella cf. novicida Fx1,2012,RefSeq
fcn,Francisella cf. novicida 3523,2012,RefSeq
fph,Francisella philomiragia subsp. philomiragia ATCC 25017,2008,RefSeq
fpt,Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L,2015,GenBank
fpi,Francisella philomiragia O#319-029,2015,GenBank
fpm,Francisella philomiragia O#319-036,2015,GenBank
fpx,Francisella philomiragia O#319-067,2015,GenBank
fpz,Francisella philomiragia GA01-2794,2015,GenBank
fpj,Francisella philomiragia GA01-2801,2015,GenBank
frt,Francisella sp. TX077308,2011,RefSeq
fna,Francisella noatunensis subsp. orientalis Toba 04,2012,RefSeq
fnl,Francisella noatunensis subsp. orientalis LADL--07-285A,2013,RefSeq
frf,Francisella sp. FSC1006,2014,GenBank
fgu,Francisella guangzhouensis,2015,GenBank
tcx,Thiomicrospira crunogena,2005,RefSeq
tcy,Thioalkalimicrobium cyclicum,2011,RefSeq
tao,Thioalkalimicrobium aerophilum,2015,GenBank
mej,Methylophaga nitratireducenticrescens,2012,RefSeq
mec,Methylophaga frappieri,2012,RefSeq
cyq,Cycloclasticus sp. P1,2012,RefSeq
cza,Cycloclasticus zancles,2013,RefSeq
psal,Piscirickettsia salmonis,2015,GenBank
tig,Thioploca ingrica,2015,GenBank
noc,Nitrosococcus oceani,2005,RefSeq
nhl,Nitrosococcus halophilus,2010,RefSeq
nwa,Nitrosococcus watsonii,2010,RefSeq
alv,Allochromatium vinosum,2010,RefSeq
tvi,Thiocystis violascens,2012,RefSeq
tmb,Thioflavicoccus mobilis,2012,RefSeq
mpur,Marichromatium purpuratum,2015,GenBank
aeh,Alkalilimnicola ehrlichii,2006,GenBank
hha,Halorhodospira halophila,2007,RefSeq
hhc,Halorhodospira halochloris,2014,GenBank
tgr,Thioalkalivibrio sulfidiphilus,2009,RefSeq
tkm,Thioalkalivibrio sp. K90mix,2010,RefSeq
tni,Thioalkalivibrio nitratireducens,2013,RefSeq
tti,Thioalkalivibrio thiocyanoxidans,2015,GenBank
tvr,Thioalkalivibrio versutus,2015,GenBank
ssal,Spiribacter salinus,2013,RefSeq
spiu,Spiribacter sp. UAH-SP71,2013,RefSeq
hna,Halothiobacillus neapolitanus,2009,RefSeq
hch,Hahella chejuensis,2005,RefSeq
csa,Chromohalobacter salexigens,2006,RefSeq
hel,Halomonas elongata,2010,RefSeq
hcs,Halomonas campaniensis,2014,GenBank
hak,Halomonas sp. KO116,2015,GenBank
ple,Candidatus Portiera aleyrodidarum BT-B,2012,RefSeq
ply,Candidatus Portiera aleyrodidarum BT-B-HRs,2012,RefSeq
plr,Candidatus Portiera aleyrodidarum BT-QVLC,2012,RefSeq
plo,Candidatus Portiera aleyrodidarum BT-QVLC,2012,RefSeq
pld,Candidatus Portiera aleyrodidarum TV,2013,RefSeq
plb,Candidatus Portiera aleyrodidarum TV-BCN,2015,GenBank
plc,Candidatus Portiera aleyrodidarum AD-CAI,2015,GenBank
pli,Candidatus Portiera aleyrodidarum AF-CAI,2015,GenBank
paly,Candidatus Portiera aleyrodidarum MED,2015,GenBank
crp,Candidatus Carsonella ruddii PV (Pachypsylla venusta),2006,RefSeq
cru,Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti),2012,RefSeq
crc,Candidatus Carsonella ruddii CS (Ctenarytaina spatulata),2012,RefSeq
crt,Candidatus Carsonella ruddii HT (Heteropsylla texana),2012,RefSeq
crh,Candidatus Carsonella ruddii HC (Heteropsylla cubana),2012,RefSeq
crv,Candidatus Carsonella ruddii PC (Pachypsylla celtidis),2012,RefSeq
cri,Candidatus Carsonella ruddii DC (Diaphorina citri),2013,RefSeq
eme,Candidatus Evansia muelleri,2015,GenBank
abo,Alcanivorax borkumensis,2006,RefSeq
adi,Alcanivorax dieselolei,2012,RefSeq
apac,Alcanivorax pacificus,2015,GenBank
aln,Alcanivorax sp. NBRC,2015,GenBank
kko,Kangiella koreensis,2009,RefSeq
kge,Kangiella geojedonensis,2015,GenBank
mmw,Marinomonas sp. MWYL1,2007,GenBank
mme,Marinomonas mediterranea,2011,RefSeq
mpc,Marinomonas posidonica,2011,RefSeq
tol,Thalassolituus oleivorans MIL-1,2013,RefSeq
tor,Thalassolituus oleivorans R6-15,2014,GenBank
gsn,Gynuella sunshinyii,2015,GenBank
aha,Aeromonas hydrophila subsp. hydrophila ATCC 7966,2006,RefSeq
ahy,Aeromonas hydrophila ML09-119,2013,RefSeq
ahd,Aeromonas hydrophila YL17,2014,GenBank
ahr,Aeromonas hydrophila AL09-71,2014,GenBank
ahp,Aeromonas hydrophila pc104A,2014,GenBank
ahj,Aeromonas hydrophila J-1,2015,GenBank
ahh,Aeromonas hydrophila AL06-06,2015,GenBank
ahi,Aeromonas hydrophila AH10,2015,GenBank
asa,Aeromonas salmonicida,2007,RefSeq
avr,Aeromonas veronii,2011,RefSeq
amed,Aeromonas media,2014,GenBank
tau,Tolumonas auensis,2009,RefSeq
oce,Oceanimonas sp. GK1,2012,RefSeq
dno,Dichelobacter nodosus,2007,RefSeq
afe,Acidithiobacillus ferrooxidans ATCC 53993,2008,RefSeq
afr,Acidithiobacillus ferrooxidans ATCC 23270,2008,RefSeq
acu,Acidithiobacillus caldus SM-1,2011,RefSeq
acz,Acidithiobacillus caldus ATCC 51756,2015,GenBank
afi,Acidithiobacillus ferrivorans,2011,RefSeq
gap,Gilliamella apicola,2014,GenBank
fpp,Frischella perrara,2015,GenBank
saga,Simiduia agarivorans,2012,RefSeq
bci,Baumannia cicadellinicola Hc (Homalodisca coagulata),2006,RefSeq
bcib,Candidatus Baumannia cicadellinicola BGSS,2014,GenBank
rma,Candidatus Ruthia magnifica (Calyptogena magnifica),2006,RefSeq
vok,Candidatus Vesicomyosocius okutanii (Calyptogena okutanii),2007,RefSeq
gpb,Gamma proteobacterium HdN1,2010,RefSeq
tbn,Thiolapillus brandeum,2015,GenBank
seds,Sedimenticola sp. SIP-G1,2015,GenBank
nma,Neisseria meningitidis Z2491 (serogroup A),2000,RefSeq
nme,Neisseria meningitidis MC58 (serogroup B),2000,RefSeq
nmp,Neisseria meningitidis alpha710 (serogroup B),2012,RefSeq
nmh,Neisseria meningitidis H44/76 (serogroup B),2012,RefSeq
nmc,Neisseria meningitidis FAM18 (serogroup C),2007,RefSeq
nmn,Neisseria meningitidis 053442 (serogroup C),2007,RefSeq
nmt,Neisseria meningitidis 8013 (serogroup C),2012,GenBank
nmi,Neisseria meningitidis alpha14 (cnl strain),2009,GenBank
nmd,Neisseria meningitidis G2136 (serogroup B),2012,RefSeq
nmm,Neisseria meningitidis M01-240149 (serogroup B),2012,RefSeq
nms,Neisseria meningitidis M01-240355 (serogroup B),2012,RefSeq
nmq,Neisseria meningitidis M04-240196 (serogroup B),2012,RefSeq
nmw,Neisseria meningitidis WUE 2594 (serogroup A),2012,RefSeq
nmz,Neisseria meningitidis NZ-05/33 (serogroup B),2012,RefSeq
nmx,Neisseria meningitidis 510612  (serogroup A),2014,GenBank
ngo,Neisseria gonorrhoeae FA 1090,2005,RefSeq
ngk,Neisseria gonorrhoeae NCCP11945,2008,RefSeq
ngt,Neisseria gonorrhoeae TCDC-NG08107,2012,RefSeq
nla,Neisseria lactamica,2010,RefSeq
nel,Neisseria elongata,2015,GenBank
salv,Snodgrassella alvi,2014,GenBank
cvi,Chromobacterium violaceum,2003,RefSeq
lhk,Laribacter hongkongensis,2009,RefSeq
pse,Pseudogulbenkiania sp. NH8B,2011,RefSeq
rso,Ralstonia solanacearum GMI1000,2001,RefSeq
rsc,Ralstonia solanacearum CFBP2957,2010,RefSeq
rsl,Ralstonia solanacearum PSI07,2010,RefSeq
rsn,Ralstonia solanacearum Po82,2012,RefSeq
rsm,Ralstonia solanacearum CMR15,2013,RefSeq
rse,Ralstonia solanacearum FQY_4,2013,RefSeq
rpi,Ralstonia pickettii 12J,2008,RefSeq
rpf,Ralstonia pickettii 12D,2009,RefSeq
rpj,Ralstonia pickettii DTP0602,2014,RefSeq
rmn,Ralstonia mannitolilytica,2015,GenBank
reu,Ralstonia eutropha JMP134,2005,RefSeq
reh,Ralstonia eutropha H16,2006,RefSeq
cnc,Cupriavidus necator N-1,2011,RefSeq
rme,Cupriavidus metallidurans,2006,RefSeq
cti,Cupriavidus taiwanensis,2008,RefSeq
cbw,Cupriavidus basilensis,2015,GenBank
bma,Burkholderia mallei ATCC 23344,2004,RefSeq
bmv,Burkholderia mallei SAVP1,2007,GenBank
bml,Burkholderia mallei NCTC 10229,2007,RefSeq
bmn,Burkholderia mallei NCTC 10247,2007,RefSeq
bmal,Burkholderia mallei 23344,2014,GenBank
bmae,Burkholderia mallei 6,2014,GenBank
bmaq,Burkholderia mallei BMQ,2014,GenBank
bmai,Burkholderia mallei 2000031063,2015,GenBank
bmaf,Burkholderia mallei FMH 23344,2015,GenBank
bmaz,Burkholderia mallei 092700E,2015,GenBank
bmab,Burkholderia mallei 2002734299,2015,GenBank
bps,Burkholderia pseudomallei K96243,2004,RefSeq
bpm,Burkholderia pseudomallei 1710b,2005,RefSeq
bpl,Burkholderia pseudomallei 1106a,2007,RefSeq
bpd,Burkholderia pseudomallei 668,2007,RefSeq
bpr,Burkholderia pseudomallei MSHR346,2009,RefSeq
bpse,Burkholderia pseudomallei MSHR305,2013,RefSeq
bpsm,Burkholderia pseudomallei MSHR511,2014,GenBank
bpsu,Burkholderia pseudomallei MSHR146,2014,GenBank
bpsd,Burkholderia pseudomallei MSHR520,2014,GenBank
bpz,Burkholderia pseudomallei 1026b,2012,RefSeq
bpq,Burkholderia pseudomallei BPC006,2012,RefSeq
bpk,Burkholderia pseudomallei NCTC 13179,2013,RefSeq
bpsh,Burkholderia pseudomallei HBPUB10134a,2014,GenBank
bpsa,Burkholderia pseudomallei NAU35A-3,2014,GenBank
bpso,Burkholderia pseudomallei A79A,2014,GenBank
bte,Burkholderia thailandensis E264,2005,GenBank
btq,Burkholderia thailandensis 2002721723,2014,GenBank
btj,Burkholderia thailandensis E444,2014,GenBank
btz,Burkholderia thailandensis H0587,2014,GenBank
btd,Burkholderia thailandensis MSMB121,2013,RefSeq
btv,Burkholderia thailandensis MSMB59,2014,GenBank
bthe,Burkholderia thailandensis E254,2014,GenBank
bthm,Burkholderia thailandensis USAMRU Malaysia #20,2014,GenBank
btha,Burkholderia thailandensis 2003015869,2015,GenBank
bthl,Burkholderia thailandensis 2002721643,2015,GenBank
bok,Burkholderia oklahomensis E0147,2014,GenBank
boc,Burkholderia oklahomensis C6786,2015,GenBank
but,Burkholderia sp. TSV202,2014,GenBank
bvi,Burkholderia vietnamiensis G4,2007,RefSeq
bve,Burkholderia vietnamiensis LMG 10929,2015,GenBank
bur,Burkholderia lata,2005,RefSeq
bcn,Burkholderia cenocepacia AU1054,2006,RefSeq
bch,Burkholderia cenocepacia HI2424,2006,RefSeq
bcm,Burkholderia cenocepacia MC0-3,2008,RefSeq
bcj,Burkholderia cenocepacia J2315,2008,RefSeq
bcen,Burkholderia cenocepacia DDS 22E-1,2014,GenBank
bcew,Burkholderia cenocepacia DWS 37E-2,2014,GenBank
bceo,Burkholderia cenocepacia H111,2015,GenBank
